CSD refcode,CIF filename
IKEZED,ikezed_P1_charged_H
IKILIA,ikilia_P1_H
ILUGOM,ilugom_P1_H
ILUHON,iluhon_P1_H
ILUJAB,ilujab_P1_H
ILUJIJ,ilujij_P1_H
ILUROZ,iluroz_P1_H
IMUVAO,imuvao_P1_H
INEBOT,inebot_P1_charged_H
INEBOT01,inebot01_P1_charged_H
INEMUM,inemum_P1_H
IPAQIC,ipaqic_P1_H
IPAQOI,ipaqoi_P1_H
IPAQUO,ipaquo_P1_H
IPIJUM,ipijum_P1_H
IPOCEY,ipocey_P1_charged_H
IPUPIU,ipupiu_P1_H
IQOKIK,iqokik_P1_H
ISAYOQ,isayoq_P1_charged_H
IVILEG,ivileg_P1_charged_H
IWEVAJ,iwevaj_P1_H
IWEXAM,iwexam_P1_H
IXEJIG,ixejig_P1_H
IXEJOM,ixejom_P1_H
IXEJUS,ixejus_P1_H
IYACOD,iyacod_P1_H
IYEPUZ,iyepuz_P1_H
IYESUC,iyesuc_P1_H
IYUJAO,iyujao_P1_H
IZEQUB,izequb_P1_H
IZIBUQ,izibuq_P1_H
JAHXUM,jahxum_P1_H
JALLOA,jalloa_P1_H
JAVNIE,javnie_P1_H
JEBWEV,jebwev_P1_charged_H
JEDJUY,jedjuy_P1_H
JEGSAT,jegsat_P1_H
JEGSIB,jegsib_P1_H
JEGSUN,jegsun_P1_H
JEGTEY,jegtey_P1_H
JEGTIC,jegtic_P1_H
JETLUS,jetlus_P1_H
JICJAJ,jicjaj_P1_H
JICJEN,jicjen_P1_H
JIDPAQ,jidpaq_P1_charged_H
JIDRUM,jidrum_P1_charged_H
JIHWAB,jihwab_P1_H
JIJDIS,jijdis_P1_H
JIJDOY,jijdoy_P1_H
JIYBEB,jiybeb_P1_H
JOGJEX,jogjex_P1_charged_H
JOMZIX,jomzix_P1_H
JUCYOY,jucyoy_P1_H
JUCZAL,juczal_P1_H
JUTWED,jutwed_P1_charged_H
JUTZEG,jutzeg_P1_charged_H
KACZEV,kaczev_P1_H
KACZIZ,kacziz_P1_H
KAWQUX,kawqux_P1_H
KAWXIS,kawxis_P1_charged_H
KAZXEQ,kazxeq_P1_charged_H
KECROD,kecrod_P1_charged_H
KECRUJ,kecruj_P1_charged_H
KEDQAN,kedqan_P1_H
KEFBEE,kefbee_P1_H
KEFBII,kefbii_P1_H
KEFBOO,kefboo_P1_H
KEGBIK,kegbik_P1_charged_H
KEHDUA,kehdua_P1_charged_H
KEPPIF,keppif_P1_charged_H
KEQDER,keqder_P1_H
KERFOF,kerfof_P1_H
KICXEB,kicxeb_P1_H
KIDVIE,kidvie_P1_H
KIJRUS,kijrus_P1_H
KIKFIV,kikfiv_P1_H
KIYBIF,kiybif_P1_H
KOCCUC,koccuc_P1_H
KODPUP02,kodpup02_P1_H
KOFVOS,kofvos_P1_H
KOGTAE,kogtae_P1_H
KOGTEI,kogtei_P1_H
KOHKIC,kohkic_P1_H
KOHKOI,kohkoi_P1_H
KOTLOX,kotlox_P1_H
KOZQEX,kozqex_P1_H
KUFBEU,kufbeu_P1_H
KUGZIW,kugziw_P1_charged_H
KUWPAV,kuwpav_P1_H
KUYGOC,kuygoc_P1_H
KUYHIY,kuyhiy_P1_H
KUYJAS,kuyjas_P1_charged_H
LABRUE,labrue_P1_charged_H
LAGWEX,lagwex_P1_H
LAJLIT,lajlit_P1_charged_H
LALPIZ,lalpiz_P1_H
LALPOF,lalpof_P1_H
LAQXOU,laqxou_P1_H
LARKOI,larkoi_P1_H
LARXUA,larxua_P1_H
LASDEQ,lasdeq_P1_H
LASGIZ,lasgiz_P1_charged_H
LASYOU,lasyou_P1_H
LAVTAF,lavtaf_P1_H
LAVTEJ,lavtej_P1_H
LAVTIN,lavtin_P1_H
LAVTOT,lavtot_P1_H
LAVTUZ,lavtuz_P1_H
LAVZOA,lavzoa_P1_H
LAYQUA,layqua_P1_H
LAZHUR,lazhur_P1_H
LAZQOU,lazqou_P1_H
LAZXOB,lazxob_P1_H
LECFAC,lecfac_P1_H
LECFEG,lecfeg_P1_H
LECGAD,lecgad_P1_H
LECGIL,lecgil_P1_charged_H
LEDGIO,ledgio_P1_H
LEKMEW,lekmew_P1_H
LEKNOH,leknoh_P1_H
LEPKEZ,lepkez_P1_charged_H
LEPKID,lepkid_P1_charged_H
LEPKOJ,lepkoj_P1_charged_H
LEPSIL,lepsil_P1_H
LETFIA,letfia_P1_charged_H
LEVFAW,levfaw_P1_H
LICGOW,licgow_P1_H
LIGQEA,ligqea_P1_H
LIJQON,lijqon_P1_H
LIJXEI,lijxei_P1_H
LIKWUA,likwua_P1_H
LIPQIL,lipqil_P1_charged_H
LIQDAS,liqdas_P1_H
LITKIL,litkil_P1_charged_H
LIXMIQ,lixmiq_P1_H
LIZFUY,lizfuy_P1_H
LIZQET,lizqet_P1_H
LOBBIQ,lobbiq_P1_H
LOBBOW,lobbow_P1_H
LOBBUC,lobbuc_P1_H
LOBQEB,lobqeb_P1_H
LODPOK,lodpok_P1_H
LODPUQ,lodpuq_P1_H
LOXBEH,loxbeh_P1_H
LUDLED,ludled_P1_H
LUDLIH,ludlih_P1_H
LUFNAC01,lufnac01_P1_H
LUFNAC03,lufnac03_P1_H
LUFNAC04,lufnac04_P1_H
LUFNAC05,lufnac05_P1_H
LUMYEZ,lumyez_P1_charged_H
LUMYID,lumyid_P1_charged_H
LURRIA,lurria_P1_H
LUSYEF,lusyef_P1_H
LUTCEJ,lutcej_P1_H
LUXDUE,luxdue_P1_charged_H
LUXFEQ,luxfeq_P1_charged_H
LUXMAT,luxmat_P1_charged
MAFJIO,mafjio_P1_H
MAFZIE,mafzie_P1_H
MAFZUQ,mafzuq_P1_charged
MAGBON,magbon_P1_charged_H
MAHNUI,mahnui_P1_H
MAJCEJ,majcej_P1_charged_H
MAJCIN,majcin_P1_charged_H
MAJCOT,majcot_P1_charged_H
MAKHOY,makhoy_P1_H
MAPFIS,mapfis_P1_H
MARDAM,mardam_P1_charged_H
MARXEK,marxek_P1_H
MAYKOO,maykoo_P1_H
MEGBAD,megbad_P1_H
MEHMET,mehmet_P1_H
MERLAZ,merlaz_P1_H
MERLED,merled_P1_H
MIHMIC,mihmic_P1_charged_H
MIHMOI,mihmoi_P1_H
MILROQ,milroq_P1_H
