CSD refcode,CIF filename
CUVHIL01,cuvhil01_P1_H
CUVHIL02,cuvhil02_P1_H
CUWXEZ,cuwxez_P1_H
CUWXID,cuwxid_P1_H
CUWXOJ,cuwxoj_P1_H
CUWYAW,cuwyaw_P1_H
CUWYIE,cuwyie_P1_H
CUWYOK,cuwyok_P1_H
CUWYUQ,cuwyuq_P1_H
CUWZAX,cuwzax_P1_H
CUWZEB,cuwzeb_P1_H
CUWZIF,cuwzif_P1_H
DABGIZ,dabgiz_P1_H
DACDEU,dacdeu_P1_H
DACDIY,dacdiy_P1_charged_H
DACDOE,dacdoe_P1_H
DACZUF,daczuf_P1_H
DADTUY14,dadtuy14_P1_charged_H
DAGDIZ,dagdiz_P1_H
DAJHOM,dajhom_P1_H
DAJWET,dajwet_P1_charged_H
DAKVOC,dakvoc_P1_H
DAKVUI,dakvui_P1_H
DAKXIA,dakxia_P1_H
DAKZUN,dakzun_P1_H
DALSER,dalser_P1_charged_H
DALVIY,dalviy_P1_H
DAMYOI,damyoi_P1_H
DAMYUO,damyuo_P1_H
DANROC,danroc_P1_H
DANZAV,danzav_P1_charged_H
DANZEZ,danzez_P1_charged_H
DANZID,danzid_P1_charged_H
DAPYAW,dapyaw_P1_charged_H
DAQRET01,daqret01_P1_H
DARSEV,darsev_P1_H
DAWWAC,dawwac_P1_H
DAWWEF,dawwef_P1_H
DAXLEX,daxlex_P1_H
DAXNEZ,daxnez_P1_H
DAXNIA04,daxnia04_P1_charged_H
DAZKEX,dazkex_P1_H
DEFPOX,defpox_P1_H
DEGPEL,degpel_P1_charged_H
DEHBIC,dehbic_P1_H
DEHFUR,dehfur_P1_charged_H
DEWQUS,dewqus_P1_charged_H
DEYDOA,deydoa_P1_H
DIBJEF,dibjef_P1_H
DIBPAH,dibpah_P1_H
DIBQEM,dibqem_P1_H
DIBQIQ,dibqiq_P1_H
DIBQOW,dibqow_P1_H
DICVAO,dicvao_P1_H
DICVES,dicves_P1_H
DIGPER,digper_P1_H
DIHVIB02,dihvib02_P1_H
DIMBOT,dimbot_P1_H
DISBAL,disbal_P1_H
DITGUL,ditgul_P1_H
DITJEY01,ditjey01_P1_H
DITJOH,ditjoh_P1_H
DIVRUY,divruy_P1_charged_H
DIVYOZ,divyoz_P1_charged_H
DIXGIC,dixgic_P1_H
DIXKOL,dixkol_P1_H
DIZQOT,dizqot_P1_H
DOGMET,dogmet_P1_charged_H
DOKDEN,dokden_P1_H
DOKHIV,dokhiv_P1_charged_H
DOKHOB,dokhob_P1_H
DOMGET,domget_P1_H
DONKIC,donkic_P1_H
DONKOI,donkoi_P1_H
DONKUO,donkuo_P1_charged_H
DONNEA,donnea_P1_H
DOPHOH,dophoh_P1_H
DOPHUN,dophun_P1_H
DOPJAV,dopjav_P1_H
DORNAB,dornab_P1_H
DOYHOQ,doyhoq_P1_charged_H
DOYLAE,doylae_P1_H
DOYLIM,doylim_P1_H
DOZCEC,dozcec_P1_charged_H
DOZKIO,dozkio_P1_H
DUDXOS,dudxos_P1_H
DUFJOG,dufjog_P1_H
DUFKAS,dufkas_P1_charged_H
DUFZOU,dufzou_P1_H
DUFZUA,dufzua_P1_H
DUGBAJ,dugbaj_P1_H
DUGGOD,duggod_P1_H
DUGMOJ,dugmoj_P1_H
DUJQUW01,dujquw01_P1_charged_H
DUKNEE,duknee_P1_H
DUNJON,dunjon_P1_H
DUPJAB,dupjab_P1_charged_H
DUPLOS,duplos_P1_H
DUQNIP,duqnip_P1_H
DURCAX,durcax_P1_H
DURCOL,durcol_P1_H
DUVNOA,duvnoa_P1_H
DUVQET,duvqet_P1_H
DUVQUJ,duvquj_P1_H
DUXSIA,duxsia_P1_H
DUYBIL,duybil_P1_charged_H
DUYRAR,duyrar_P1_H
DUYREV,duyrev_P1_H
DUYROF,duyrof_P1_H
DUZKAM,duzkam_P1_charged_H
EBAQOR,ebaqor_P1_H
EBEWIT,ebewit_P1_H
EBEXAM,ebexam_P1_H
EBIHEE,ebihee_P1_H
EBIMOT,ebimot_P1_charged_H
EBIZUN,ebizun_P1_H
EBOTOF,ebotof_P1_H
EBUKUL,ebukul_P1_H
EBUQIB,ebuqib_P1_H
EBUQOH,ebuqoh_P1_H
EBUREA,eburea_P1_H
EBUVAA,ebuvaa_P1_H
ECEFIC,ecefic_P1_charged_H
ECEZAO,ecezao_P1_H
ECEZAO01,ecezao01_P1_H
ECINUC,ecinuc_P1_H
ECIRER,ecirer_P1_H
ECODEG,ecodeg_P1_H
ECOKAJ,ecokaj_P1_H
ECORIX,ecorix_P1_H
ECUCIP,ecucip_P1_H
ECUCOV,ecucov_P1_H
ECUDAI,ecudai_P1_H
ECUDEM,ecudem_P1_H
EDADAP,edadap_P1_charged_H
EDAPIK,edapik_P1_H
EDEPAG,edepag_P1_H
EDOVEA,edovea_P1_charged_H
EDOVIE,edovie_P1_charged_H
EFAPUA,efapua_P1_H
EFAQAH,efaqah_P1_H
EFAQEL,efaqel_P1_H
EFEGOM,efegom_P1_H
EFESOZ,efesoz_P1_H
EGAFOJ,egafoj_P1_H
EGAFUP,egafup_P1_H
EGAGAW,egagaw_P1_H
EGAXAO,egaxao_P1_charged_H
EGELUY,egeluy_P1_H
EGONUM,egonum_P1_H
EJIPUL,ejipul_P1_charged_H
EJIQAS,ejiqas_P1_charged_H
EJOQUR,ejoqur_P1_H
EJORAY,ejoray_P1_H
EKAQIR,ekaqir_P1_H
EKEQIV,ekeqiv_P1_H
EKIKOB,ekikob_P1_H
EKOKUN,ekokun_P1_H
EKOLAU,ekolau_P1_H
ELERIY,eleriy_P1_H
ELIJOZ,elijoz_P1_H
ELIJUF,elijuf_P1_H
ELIKAM,elikam_P1_H
ELIKEQ,elikeq_P1_H
ELIKIU,elikiu_P1_H
ELIKOA,elikoa_P1_H
ELIKUG,elikug_P1_H
ELILAN,elilan_P1_H
ELILER,eliler_P1_H
ELILIV,eliliv_P1_H
ELISEA,elisea_P1_charged_H
ELOFIU,elofiu_P1_charged_H
ELOKOI,elokoi_P1_H
ELUTIR,elutir_P1_H
EMEYUQ01,emeyuq01_P1_H
EMIPUO,emipuo_P1_H
EMUBIZ,emubiz_P1_H
ENAFAB,enafab_P1_H
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
ENEXIH,enexih_P1_H
ENIHUG01,enihug01_P1_H
ENISOK,enisok_P1_H
ENITAX,enitax_P1_H
EPISOM,episom_P1_H
EPOTAF,epotaf_P1_H
EPOXUF,epoxuf_P1_charged_H
EQERAU,eqerau_P1_H
EQEREY,eqerey_P1_H
EQERIC,eqeric_P1_H
EQOXIT,eqoxit_P1_H
EQUBOI,equboi_P1_H
EQUBUO,equbuo_P1_H
EQUNIP,equnip_P1_charged_H
EQUYOH,equyoh_P1_H
ERAMER,eramer_P1_H
ERAMES,erames_P1_H
EREGOY,eregoy_P1_H
EROBIZ,erobiz_P1_H
EROJUT,erojut_P1_charged_H
ERUFOM,erufom_P1_H
ESAFIQ,esafiq_P1_charged_H
ESEQUO,esequo_P1_H
ESOZUK,esozuk_P1_H
ETETAB,etetab_P1_charged_H
ETETEF,etetef_P1_H
ETIKAW,etikaw_P1_H
ETIKIE,etikie_P1_H
ETOVIV,etoviv_P1_H
EVEGUH,eveguh_P1_charged_H
EVOHOM,evohom_P1_H
EWASIG01,ewasig01_P1_H
EWEWUZ,ewewuz_P1_charged_H
EWUKOZ,ewukoz_P1_H
EXAXAE,exaxae_P1_H
EXAXAE03,exaxae03_P1_H
EXAYOS,exayos_P1_H
EXAZAF,exazaf_P1_H
EXOJAF,exojaf_P1_H
EXOTOB,exotob_P1_H
EXOTUH,exotuh_P1_H
EXOZIB,exozib_P1_H
EYUWAW,eyuwaw_P1_H
EZAWIL,ezawil_P1_charged_H
EZESAF,ezesaf_P1_H
EZUCOS,ezucos_P1_H
FABFOF,fabfof_P1_charged_H
FAFGAU,fafgau_P1_H
FAFMAA,fafmaa_P1_H
FAFMEE,fafmee_P1_H
FAGFUQ,fagfuq_P1_H
FAHFUR,fahfur_P1_charged_H
FAHHUV,fahhuv_P1_H
FAHPOV,fahpov_P1_H
FAHTUE,fahtue_P1_H
FAHVAM,fahvam_P1_H
FAJYAS,fajyas_P1_H
FAKGOP,fakgop_P1_H
FAKMIR,fakmir_P1_H
FAKMOX,fakmox_P1_charged_H
FAKXOI,fakxoi_P1_H
FALQOA,falqoa_P1_H
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL,falvul_P1_H
FALVUL01,falvul01_P1_H
FALVUL02,falvul02_P1_charged_H
FAMSUH,famsuh_P1_H
FAMTAO,famtao_P1_H
FANNUG,fannug_P1_H
FAQSOG,faqsog_P1_H
FAQYUR,faqyur_P1_H
FASFOX,fasfox_P1_H
FASFUD,fasfud_P1_H
FASGAK,fasgak_P1_H
FASHAK,fashak_P1_H
FATKAO,fatkao_P1_H
FATKIV,fatkiv_P1_H
FATKIW,fatkiw_P1_H
FATKOC,fatkoc_P1_H
FAVFIU,favfiu_P1_charged_H
FAVKAP,favkap_P1_charged_H
FAXLEY,faxley_P1_H
FAYPAY,faypay_P1_H
FAZFET,fazfet_P1_H
FEBXIV,febxiv_P1_H
FECXAO,fecxao_P1_H
FECXOC,fecxoc_P1_charged_H
FECXUI,fecxui_P1_H
FEDBAV,fedbav_P1_charged_H
FEDQUE,fedque_P1_H
FEFZEZ,fefzez_P1_H
FEGNIQ,fegniq_P1_charged_H
FENVOL,fenvol_P1_charged_H
FEPBIO,fepbio_P1_H
FEVPED,fevped_P1_H
FEVPIH,fevpih_P1_H
FEWGUL,fewgul_P1_H
FEWQIJ,fewqij_P1_H
FEWQOP,fewqop_P1_H
FIDLUC,fidluc_P1_charged_H
FIDRIV,fidriv_P1_H
FIFGAE,fifgae_P1_charged_H
FIFGEI,fifgei_P1_charged_H
FIFGIM,fifgim_P1_H
FIFNUE,fifnue_P1_H
FIFPOA,fifpoa_P1_H
FIHFAF,fihfaf_P1_H
FIJNAQ,fijnaq_P1_H
FIJNEU,fijneu_P1_H
FIJNIY,fijniy_P1_H
FIJREW,fijrew_P1_H
FILBAG,filbag_P1_charged_H
FILYEG,filyeg_P1_H
FIQCEN,fiqcen_P1_H
FIRMUQ,firmuq_P1_H
FIRNAX,firnax_P1_H
FIRNAX01,firnax01_P1_H
FIRNIF,firnif_P1_H
FIRNOL,firnol_P1_H
FIRNUR,firnur_P1_H
FIRPAZ,firpaz_P1_H
FISCUI,fiscui_P1_H
FISGOF,fisgof_P1_H
FISPIH,fispih_P1_H
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIXLAC,fixlac_P1_charged_H
FIXVUE,fixvue_P1_H
FIYDOH,fiydoh_P1_H
