CSD refcode,CIF filename
DIVYOZ,divyoz_P1_charged_H
DIXVUC01,dixvuc01_P1_charged
DIXVUC04,dixvuc04_P1_charged
DIZQEL,dizqel_P1_charged
DOGMET,dogmet_P1_charged_H
DOJPOK,dojpok_P1_charged
DOJPOK01,dojpok01_P1_charged
DOKHIV,dokhiv_P1_charged_H
DONKUO,donkuo_P1_charged_H
DONXUC,donxuc_P1_charged
DOQKAW,doqkaw_P1_charged
DOQRUY,doqruy_P1_charged
DOQSAF,doqsaf_P1_charged
DORFAS,dorfas_P1_charged
DOTFID,dotfid_P1_charged
DOTFOK,dotfok_P1_charged
DOYHOQ,doyhoq_P1_charged_H
DOYHUW,doyhuw_P1_charged
DOZCEC,dozcec_P1_charged_H
DUDHAO,dudhao_P1_charged
DUDHES,dudhes_P1_charged
DUDVUV,dudvuv_P1_charged
DUFKAS,dufkas_P1_charged_H
DUJQUW01,dujquw01_P1_charged_H
DULCAQ,dulcaq_P1_charged
DUMGOI,dumgoi_P1_charged
DUPJAB,dupjab_P1_charged_H
DUPKIK,dupkik_P1_charged
DUQKIM,duqkim_P1_charged
DUQSAK,duqsak_P1_charged
DUQYEU,duqyeu_P1_charged
DUQYEU01,duqyeu01_P1_charged
DUYBIL,duybil_P1_charged_H
DUYJIS,duyjis_P1_charged
DUZKAM,duzkam_P1_charged_H
EBEPOU,ebepou_P1_charged
EBEVAK,ebevak_P1_charged
EBIBEY,ebibey_P1_charged
EBIDOK,ebidok_P1_charged
EBIMIN,ebimin_P1_charged
EBIMOT,ebimot_P1_charged_H
ECEFIC,ecefic_P1_charged_H
EDADAP,edadap_P1_charged_H
EDATOT,edatot_P1_charged
EDIKEH,edikeh_P1_charged
EDOBAE,edobae_P1_charged
EDOVEA,edovea_P1_charged_H
EDOVIE,edovie_P1_charged_H
EFOXUV,efoxuv_P1_charged
EGAXAO,egaxao_P1_charged_H
EGOZAB,egozab_P1_charged
EHABUN,ehabun_P1_charged
EHAFOL,ehafol_P1_charged
EHAFUR,ehafur_P1_charged
EHAGEA,ehagea_P1_charged
EHIWIE,ehiwie_P1_charged
EHIWOK,ehiwok_P1_charged
EJIBEH,ejibeh_P1_charged
EJIPUL,ejipul_P1_charged_H
EJIQAS,ejiqas_P1_charged_H
EJIQIZ,ejiqiz_P1_charged
EKAQOZ,ekaqoz_P1_charged
ELISEA,elisea_P1_charged_H
ELOFIU,elofiu_P1_charged_H
ELOZOW,elozow_P1_charged
ELUBIZ,elubiz_P1_charged
ELUBOF,elubof_P1_charged
EMAFAA,emafaa_P1_charged
EMAFII,emafii_P1_charged
EMIHAK,emihak_P1_charged
EMIHIS,emihis_P1_charged
EMIVAY,emivay_P1_charged
EMIYAD,emiyad_P1_charged
ENATUJ,enatuj_P1_charged
ENECIM,enecim_P1_charged
ENEQOF,eneqof_P1_charged
ENEQUL,enequl_P1_charged
ENESOH,enesoh_P1_charged_H
ENESUN,enesun_P1_charged_H
EPAVAU,epavau_P1_charged
EPOXOZ,epoxoz_P1_charged
EPOXUF,epoxuf_P1_charged_H
EPUVAN,epuvan_P1_charged
EQUMUA,equmua_P1_charged
EQUNAH,equnah_P1_charged
EQUNIP,equnip_P1_charged_H
ERIJUM,erijum_P1_charged
EROCIZ,erociz_P1_charged
EROJUT,erojut_P1_charged_H
ERUNIQ,eruniq_P1_charged
ESAFIQ,esafiq_P1_charged_H
ESECOW,esecow_P1_charged
